{'timestamp': '2025-10-17T01:54:54.209535', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:55:02.178939', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:55:30.624430', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:55:36.056593', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:55:39.319565', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:55:43.128159', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:55:56.297139', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:55:57.195655', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:55:58.232827', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:56:01.007276', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:56:15.914856', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:56:20.261700', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:11.657203', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D05554', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:14.209696', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:14.781785', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:15.845998', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:16.716032', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:17.271561', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:19.009576', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:19.728979', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:21.198722', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:21.638084', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:22.137795', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:23.131281', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:24.598248', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:25.099602', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:25.962149', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:26.709127', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:27.542005', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:28.090290', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T01:57:29.042486', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': 'HR26D0555', 'session_id': 1805378298752}
{'timestamp': '2025-10-17T02:01:13.223515', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
{'timestamp': '2025-10-17T02:01:13.753927', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
{'timestamp': '2025-10-17T02:01:15.467645', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
{'timestamp': '2025-10-17T02:02:28.683392', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
{'timestamp': '2025-10-17T02:02:33.261357', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
{'timestamp': '2025-10-17T02:02:44.167197', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
{'timestamp': '2025-10-17T02:02:54.101914', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
{'timestamp': '2025-10-17T02:02:56.422337', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
{'timestamp': '2025-10-17T02:03:10.600218', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
{'timestamp': '2025-10-17T02:03:12.719261', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
{'timestamp': '2025-10-17T02:03:17.017909', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
{'timestamp': '2025-10-17T02:03:17.970419', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
{'timestamp': '2025-10-17T02:03:19.476560', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
{'timestamp': '2025-10-17T02:03:21.081923', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
{'timestamp': '2025-10-17T02:03:23.554381', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
{'timestamp': '2025-10-17T02:03:24.693031', 'violation_type': 'UNAUTHORIZED_PLATE', 'plate': '1ND1', 'session_id': 2404314700352}
